employee_id,age,gender,marital_status,education,education_field,department,job_role,job_level,business_travel,distance_from_home_km,num_companies_worked,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,monthly_income_usd,stock_option_level,num_projects_last_year,training_times_last_year,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,relationship_satisfaction,performance_rating,overtime,attrition,join_date
10000,41,Male,Married,2,Medical,Research & Development,Research Scientist,2,Travel_Rarely,6,4,4,1,0,0,7293,0,4,1,1,4,3,3,1,4,No,Yes,2018-06-21
10001,32,Female,Divorced,2,Other,Sales,Manager,1,Travel_Rarely,9,1,0,0,4,0,20000,3,4,0,4,2,1,3,3,3,No,No,2017-03-26
10002,35,Female,Married,4,Other,Research & Development,Healthcare Representative,2,Non-Travel,11,0,2,2,0,0,8476,1,6,2,3,4,3,2,2,4,No,No,2019-10-18
10003,36,Female,Married,3,Technical Degree,Research & Development,Laboratory Technician,2,Non-Travel,8,1,0,0,2,0,17115,2,5,3,3,2,2,1,3,3,No,Yes,2017-03-06
10004,33,Male,Married,5,Other,Sales,Sales Representative,1,Travel_Rarely,3,1,0,0,0,7,14890,0,5,2,1,2,3,4,4,3,No,Yes,2016-11-29
10005,36,Male,Married,1,Marketing,Research & Development,Laboratory Technician,3,Travel_Rarely,1,3,5,1,3,0,8994,0,2,4,3,4,2,3,4,4,No,No,2019-07-22
10006,29,Female,Married,5,Technical Degree,Marketing,Marketing Manager,4,Travel_Frequently,17,8,12,0,2,4,9192,1,4,3,2,2,4,3,2,4,Yes,No,2021-01-09
10007,18,Female,Married,4,Marketing,Sales,Sales Representative,5,Travel_Rarely,29,2,25,1,0,0,8326,2,4,1,2,2,3,3,4,4,Yes,No,2016-10-20
10008,36,Male,Divorced,5,Life Sciences,Finance,Finance Analyst,2,Travel_Rarely,10,0,1,0,1,6,10998,1,5,3,1,4,3,4,4,4,No,No,2015-09-03
10009,23,Female,Married,1,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,5,1,4,0,1,0,7748,1,5,1,3,4,3,3,4,4,No,No,2019-05-15
10010,33,Female,Married,3,Marketing,Human Resources,Human Resources,1,Travel_Rarely,10,1,2,1,6,4,12687,1,4,1,3,4,3,3,4,4,No,No,2016-12-04
10011,37,Female,Married,3,Marketing,Human Resources,HR,2,Travel_Rarely,8,0,0,0,1,1,7069,0,5,2,1,1,1,4,3,4,No,Yes,2019-11-18
10012,38,Female,Married,3,Marketing,Marketing,Marketing Representative,2,Travel_Rarely,9,0,2,2,1,1,14329,0,4,2,4,4,3,4,3,4,No,Yes,2016-12-29
10013,52,Female,Divorced,2,Medical,Research & Development,Laboratory Technician,1,Non-Travel,20,3,4,0,3,0,3745,1,4,3,2,3,2,4,4,4,No,No,2017-06-03
10014,47,Male,Divorced,4,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,1,3,7,3,1,5,15763,0,5,6,4,4,4,1,3,4,No,No,2019-12-16
10015,29,Female,Divorced,5,Life Sciences,Research & Development,Manufacturing Director,1,Travel_Rarely,29,2,2,0,6,0,5296,0,2,4,3,1,2,2,3,4,Yes,No,2019-03-30
10016,44,Male,Divorced,3,Life Sciences,Operations,Director,2,Travel_Rarely,1,1,0,0,0,1,10859,3,4,2,1,2,2,3,2,4,No,No,2020-04-28
10017,25,Male,Married,5,Human Resources,Operations,Director,2,Travel_Frequently,29,4,2,0,4,4,11094,2,7,3,4,2,3,3,4,4,No,No,2016-12-17
10018,23,Female,Married,2,Technical Degree,Marketing,Marketing Representative,2,Travel_Rarely,29,3,0,0,4,2,19938,1,5,5,3,4,2,4,4,3,No,Yes,2020-10-29
10019,21,Male,Single,4,Medical,Sales,Sales Executive,2,Travel_Rarely,6,2,3,0,1,5,9797,1,7,3,2,2,3,3,3,4,No,No,2016-06-07
10020,26,Female,Divorced,1,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,8,3,0,0,0,1,5176,1,4,1,1,4,4,1,2,4,No,No,2020-03-21
10021,39,Male,Single,3,Life Sciences,Research & Development,Research Scientist,3,Non-Travel,9,0,9,0,0,1,5507,0,5,4,1,4,3,3,4,4,No,Yes,2021-07-25
10022,38,Male,Married,3,Life Sciences,Marketing,Marketing Manager,3,Travel_Rarely,2,0,12,1,1,1,17190,2,3,2,2,2,3,4,3,4,No,Yes,2015-01-10
10023,46,Male,Single,4,Human Resources,Research & Development,Laboratory Technician,1,Travel_Frequently,1,3,1,1,5,3,7194,0,6,4,1,3,3,4,1,4,Yes,No,2016-08-23
10024,52,Male,Single,4,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Frequently,14,5,11,2,0,0,8725,0,5,3,3,3,2,4,3,4,No,Yes,2020-02-01
